ticket_id,created_at,category,severity,assigned_group,resolution_days,sla_breach
50062,2025-06-11 19:00:00,Network,Low,Team C,1.19,0
50063,2025-02-11 23:00:00,Network,Low,Team B,4.38,1
50064,2025-01-23 11:00:00,Network,High,Team C,0.9,0
50065,2025-01-09 19:00:00,Endpoint,Low,Team D,1.14,0
50066,2025-06-19 14:00:00,Network,Medium,Team A,1.37,0
50067,2025-06-12 05:00:00,Database,Medium,Team B,3.95,1
50068,2025-02-28 01:00:00,Application,Medium,Team C,0.69,0
50069,2025-04-26 19:00:00,Network,Low,Team C,0.11,0
50070,2025-04-18 08:00:00,Database,High,Team C,1.97,0
50071,2025-02-22 15:00:00,Access,Low,Team B,3.49,1
50072,2025-05-25 17:00:00,Endpoint,Low,Team B,1.63,0
50073,2025-02-12 04:00:00,Access,Medium,Team C,0.77,0
50074,2025-02-03 03:00:00,Endpoint,High,Team A,1.99,0
50075,2025-02-20 03:00:00,Access,Low,Team C,9.42,1
50076,2025-05-20 07:00:00,Access,Medium,Team A,1.71,0
50077,2025-06-24 04:00:00,Application,Low,Team B,0.76,0
50078,2025-05-21 12:00:00,Application,Low,Team B,0.56,0
50079,2025-01-18 12:00:00,Application,Medium,Team B,12.67,1
50080,2025-04-05 01:00:00,Access,High,Team D,3.8,1
50081,2025-01-03 13:00:00,Endpoint,Low,Team A,0.66,0
50082,2025-06-20 20:00:00,Application,Low,Team D,0.61,0
50083,2025-05-13 10:00:00,Endpoint,Medium,Team B,3.26,1
50084,2025-03-06 10:00:00,Endpoint,High,Team C,9.73,1
50085,2025-03-14 22:00:00,Network,Medium,Team C,1.25,0
50086,2025-01-31 10:00:00,Database,Low,Team D,0.52,0
50087,2025-01-08 10:00:00,Access,Medium,Team C,0.52,0
50088,2025-01-23 00:00:00,Database,Low,Team B,3.19,1
50089,2025-02-28 18:00:00,Access,Low,Team D,1.86,0
50090,2025-04-19 07:00:00,Endpoint,High,Team C,2.01,0
50091,2025-01-14 23:00:00,Database,Medium,Team D,0.43,0
50092,2025-04-20 19:00:00,Network,High,Team A,0.28,0
50093,2025-02-14 18:00:00,Database,Medium,Team D,0.02,0
50094,2025-01-09 18:00:00,Database,Low,Team A,4.93,1
50095,2025-03-11 11:00:00,Network,Low,Team A,0.88,0
50096,2025-03-02 14:00:00,Network,Low,Team A,2.84,0
50097,2025-06-22 16:00:00,Application,Low,Team C,4.32,1
50098,2025-01-19 08:00:00,Access,Low,Team A,1.83,0
50099,2025-01-23 22:00:00,Endpoint,Low,Team C,1.1,0
50100,2025-01-19 19:00:00,Database,Medium,Team B,0.08,0
50101,2025-05-15 00:00:00,Database,Low,Team C,0.82,0
50102,2025-01-28 06:00:00,Endpoint,High,Team D,0.78,0
50103,2025-01-28 19:00:00,Network,Medium,Team C,1.67,0
50104,2025-04-12 13:00:00,Network,Low,Team C,2.89,0
50105,2025-03-25 08:00:00,Database,Low,Team C,2.48,0
50106,2025-05-31 22:00:00,Database,Low,Team B,4.08,1
50107,2025-06-26 16:00:00,Endpoint,Critical,Team C,0.1,0
50108,2025-04-15 14:00:00,Endpoint,Low,Team D,1.86,0
50109,2025-02-28 01:00:00,Access,Low,Team D,0.42,0
50110,2025-03-06 19:00:00,Network,Low,Team A,7.19,1
50111,2025-05-23 06:00:00,Application,Low,Team C,1.05,0
50112,2025-05-22 05:00:00,Application,Medium,Team B,1.96,0
50113,2025-03-20 22:00:00,Endpoint,Low,Team A,0.87,0
50114,2025-05-07 02:00:00,Access,Low,Team D,0.5,0
50115,2025-02-07 23:00:00,Database,Critical,Team A,2.33,0
50116,2025-06-20 17:00:00,Endpoint,Medium,Team B,5.6,1
50117,2025-02-10 11:00:00,Endpoint,Low,Team D,0.12,0
50118,2025-01-05 20:00:00,Endpoint,Medium,Team D,3.49,1
50119,2025-06-10 07:00:00,Application,Low,Team C,0.84,0
50120,2025-01-19 04:00:00,Endpoint,Critical,Team D,0.26,0
50121,2025-05-17 23:00:00,Access,Low,Team D,2.5,0
50122,2025-03-08 00:00:00,Application,Low,Team D,0.17,0
50123,2025-06-29 16:00:00,Access,Medium,Team C,2.6,0
50124,2025-03-08 11:00:00,Application,Low,Team C,1.14,0
50125,2025-03-30 13:00:00,Access,Medium,Team D,0.36,0
50126,2025-05-13 22:00:00,Network,High,Team B,0.34,0
50127,2025-06-14 03:00:00,Network,Low,Team B,2.76,0
50128,2025-02-25 22:00:00,Application,Low,Team A,3.52,1
50129,2025-03-11 06:00:00,Network,Low,Team D,2.31,0
50130,2025-05-17 14:00:00,Database,Medium,Team D,2.55,0
50131,2025-06-05 23:00:00,Access,Low,Team C,3.77,1
50132,2025-04-21 04:00:00,Application,Low,Team C,1.12,0
50133,2025-05-09 03:00:00,Network,High,Team B,0.37,0
50134,2025-01-28 20:00:00,Application,Low,Team B,0.95,0
50135,2025-04-09 05:00:00,Database,High,Team A,7.75,1
50136,2025-03-22 20:00:00,Application,Medium,Team D,1.19,0
50137,2025-05-12 07:00:00,Application,Low,Team C,5.15,1
50138,2025-06-22 11:00:00,Endpoint,Low,Team A,2.43,0
50139,2025-01-19 20:00:00,Endpoint,Medium,Team A,2.68,0
50140,2025-02-11 23:00:00,Endpoint,Medium,Team B,0.42,0
50141,2025-02-20 22:00:00,Endpoint,Medium,Team D,0.92,0
50142,2025-05-17 15:00:00,Access,Medium,Team D,2.64,0
50143,2025-01-09 01:00:00,Database,Low,Team C,2.13,0
50144,2025-02-13 03:00:00,Application,Low,Team D,3.97,1
50145,2025-02-17 21:00:00,Database,Medium,Team A,0.47,0
50146,2025-01-19 07:00:00,Application,Medium,Team D,2.76,0
50147,2025-01-31 11:00:00,Endpoint,Medium,Team D,0.08,0
50148,2025-06-02 07:00:00,Access,Low,Team C,0.71,0
50149,2025-06-25 16:00:00,Application,Low,Team B,1.99,0
50150,2025-02-02 17:00:00,Application,High,Team A,7.83,1
50151,2025-04-19 10:00:00,Network,High,Team C,9.09,1
50152,2025-06-29 07:00:00,Access,Critical,Team C,1.16,0
50153,2025-06-29 13:00:00,Access,Low,Team D,2.89,0
50154,2025-02-26 14:00:00,Access,Low,Team C,1.84,0
50155,2025-03-30 12:00:00,Database,Low,Team B,2.47,0
50156,2025-02-18 21:00:00,Endpoint,Low,Team A,2.63,0
50157,2025-04-20 03:00:00,Network,Low,Team A,1.59,0
50158,2025-01-09 20:00:00,Database,Medium,Team C,3.36,1
50159,2025-01-02 04:00:00,Endpoint,Low,Team A,1.76,0
50160,2025-05-03 16:00:00,Application,Low,Team B,0.21,0
50161,2025-06-15 03:00:00,Network,Medium,Team C,9.06,1
50162,2025-02-02 20:00:00,Database,Low,Team C,0.72,0
50163,2025-04-04 21:00:00,Network,Medium,Team B,6.66,1
50164,2025-06-05 19:00:00,Endpoint,Low,Team C,0.69,0
50165,2025-02-11 18:00:00,Database,Low,Team A,3.84,1
50166,2025-04-22 10:00:00,Database,High,Team A,2.34,0
50167,2025-02-22 01:00:00,Network,Medium,Team B,0.88,0
50168,2025-03-09 15:00:00,Application,High,Team D,5.56,1
50169,2025-04-20 22:00:00,Application,Medium,Team D,1.75,0
50170,2025-05-27 08:00:00,Application,Medium,Team D,3.54,1
50171,2025-04-23 15:00:00,Endpoint,High,Team B,3.19,1
50172,2025-01-04 12:00:00,Network,Low,Team D,0.09,0
50173,2025-05-10 18:00:00,Endpoint,Low,Team A,0.63,0
50174,2025-06-03 00:00:00,Endpoint,Critical,Team C,1.28,0
50175,2025-02-27 05:00:00,Application,Low,Team D,5.41,1
50176,2025-03-02 23:00:00,Application,Medium,Team B,0.13,0
50177,2025-03-07 14:00:00,Application,Medium,Team A,0.41,0
50178,2025-05-07 09:00:00,Network,High,Team D,1.96,0
50179,2025-06-21 12:00:00,Network,High,Team D,2.12,0
50180,2025-03-29 04:00:00,Application,Medium,Team A,0.36,0
50181,2025-04-21 12:00:00,Endpoint,Medium,Team B,5.92,1
50182,2025-03-29 02:00:00,Network,Low,Team C,0.39,0
50183,2025-05-16 11:00:00,Database,Low,Team A,0.4,0
50184,2025-01-13 08:00:00,Endpoint,Critical,Team C,2.02,0
50185,2025-02-17 02:00:00,Endpoint,Critical,Team D,1.09,0
50186,2025-05-05 08:00:00,Access,Low,Team A,0.05,0
50187,2025-01-30 20:00:00,Network,Low,Team D,5.06,1
50188,2025-06-15 23:00:00,Database,Low,Team D,0.16,0
50189,2025-05-13 16:00:00,Network,Low,Team D,0.34,0
50190,2025-06-22 14:00:00,Endpoint,High,Team D,4.55,1
50191,2025-02-24 11:00:00,Network,Low,Team D,0.64,0
50192,2025-02-05 21:00:00,Endpoint,High,Team B,3.4,1
50193,2025-04-14 12:00:00,Database,Medium,Team D,0.37,0
50194,2025-02-15 17:00:00,Endpoint,Critical,Team A,0.1,0
50195,2025-01-24 18:00:00,Application,Medium,Team C,0.54,0
50196,2025-02-24 18:00:00,Endpoint,Low,Team A,2.71,0
50197,2025-02-09 11:00:00,Application,High,Team A,2.17,0
50198,2025-06-23 01:00:00,Database,Low,Team B,0.74,0
50199,2025-01-31 10:00:00,Database,Critical,Team D,2.01,0
50200,2025-04-29 11:00:00,Endpoint,Low,Team C,2.19,0
50201,2025-01-14 13:00:00,Application,Medium,Team C,1.66,0
50202,2025-06-13 17:00:00,Endpoint,Low,Team D,5.48,1
50203,2025-05-15 19:00:00,Database,Low,Team C,3.16,1
50204,2025-02-27 15:00:00,Application,Low,Team B,3.39,1
50205,2025-05-17 17:00:00,Access,Low,Team D,1.11,0
50206,2025-06-19 17:00:00,Access,Critical,Team C,2.3,0
50207,2025-01-24 02:00:00,Database,Medium,Team A,0.41,0
50208,2025-04-13 22:00:00,Application,High,Team C,0.7,0
50209,2025-05-14 12:00:00,Endpoint,Critical,Team A,1.4,0
50210,2025-01-09 10:00:00,Database,Medium,Team D,3.39,1
50211,2025-03-08 03:00:00,Database,Low,Team A,0.82,0
50212,2025-01-19 20:00:00,Network,Medium,Team A,1.16,0
50213,2025-05-09 02:00:00,Endpoint,Medium,Team B,6.31,1
50214,2025-02-16 08:00:00,Endpoint,Low,Team B,0.67,0
50215,2025-02-14 18:00:00,Access,Low,Team D,1.93,0
50216,2025-05-27 20:00:00,Network,Medium,Team B,0.21,0
50217,2025-01-20 23:00:00,Endpoint,Low,Team D,1.06,0
50218,2025-05-14 12:00:00,Endpoint,Low,Team B,0.8,0
50219,2025-05-19 06:00:00,Access,Low,Team A,0.03,0
50220,2025-05-03 05:00:00,Network,Low,Team D,1.76,0
50221,2025-06-08 02:00:00,Network,High,Team A,0.81,0
50222,2025-04-12 19:00:00,Application,Medium,Team C,0.58,0
50223,2025-06-27 06:00:00,Database,Low,Team D,4.46,1
50224,2025-04-15 16:00:00,Application,High,Team D,0.52,0
50225,2025-02-18 21:00:00,Network,Low,Team D,1.04,0
50226,2025-05-08 13:00:00,Access,Medium,Team B,5.97,1
50227,2025-03-21 00:00:00,Application,Medium,Team C,0.17,0
50228,2025-04-06 14:00:00,Access,Low,Team B,5.58,1
50229,2025-04-25 10:00:00,Network,Low,Team B,0.99,0
50230,2025-02-26 11:00:00,Access,Low,Team C,3.13,1
50231,2025-02-19 18:00:00,Application,Low,Team D,0.88,0
50232,2025-03-04 10:00:00,Network,Medium,Team B,1.07,0
50233,2025-05-01 09:00:00,Network,Low,Team C,1.15,0
50234,2025-02-12 20:00:00,Application,Low,Team A,5.87,1
50235,2025-01-22 11:00:00,Database,Medium,Team D,1.6,0
50236,2025-02-07 09:00:00,Application,High,Team A,0.49,0
50237,2025-03-11 15:00:00,Application,Medium,Team D,1.89,0
50238,2025-04-26 11:00:00,Endpoint,High,Team D,4.4,1
50239,2025-05-07 18:00:00,Network,High,Team C,0.48,0
50240,2025-01-29 21:00:00,Endpoint,Medium,Team C,0.82,0
50241,2025-01-07 14:00:00,Endpoint,Medium,Team A,1.69,0
50242,2025-05-31 03:00:00,Endpoint,Low,Team A,8.73,1
50243,2025-01-11 03:00:00,Access,Medium,Team B,1.25,0
50244,2025-06-06 01:00:00,Application,Critical,Team B,1.76,0
50245,2025-05-03 21:00:00,Endpoint,Medium,Team D,0.29,0
50246,2025-01-13 02:00:00,Access,Low,Team A,2.84,0
50247,2025-01-06 10:00:00,Access,High,Team B,0.5,0
50248,2025-02-28 22:00:00,Network,High,Team C,0.79,0
50249,2025-05-22 21:00:00,Application,Low,Team C,2.47,0
50250,2025-04-02 05:00:00,Database,Medium,Team A,2.49,0
50251,2025-06-13 16:00:00,Application,Critical,Team C,0.77,0
50252,2025-06-07 12:00:00,Access,Low,Team B,3.8,1
50253,2025-01-17 08:00:00,Application,Low,Team B,3.17,1
50254,2025-04-17 12:00:00,Network,Medium,Team A,1.91,0
50255,2025-06-19 16:00:00,Application,Low,Team B,0.39,0
50256,2025-05-13 05:00:00,Access,Medium,Team A,4.71,1
50257,2025-03-28 20:00:00,Access,Low,Team B,1.5,0
50258,2025-01-25 20:00:00,Endpoint,Low,Team B,0.94,0
50259,2025-04-14 09:00:00,Access,High,Team B,5.24,1
50260,2025-04-16 23:00:00,Network,Medium,Team A,7.13,1
50261,2025-03-06 23:00:00,Access,Low,Team A,2.53,0
50262,2025-05-08 05:00:00,Application,Medium,Team B,3.13,1
50263,2025-05-14 05:00:00,Database,Low,Team B,0.57,0
50264,2025-04-09 00:00:00,Access,Critical,Team B,0.6,0
50265,2025-02-28 23:00:00,Network,Low,Team C,1.68,0
50266,2025-04-22 05:00:00,Network,Low,Team D,8.17,1
50267,2025-02-12 21:00:00,Network,Low,Team D,2.72,0
50268,2025-02-05 08:00:00,Network,Medium,Team C,2.74,0
50269,2025-05-05 21:00:00,Application,Low,Team D,0.6,0
50270,2025-02-25 10:00:00,Endpoint,High,Team D,1.09,0
50271,2025-02-12 17:00:00,Database,Medium,Team D,0.84,0
50272,2025-05-15 13:00:00,Endpoint,High,Team B,0.72,0
50273,2025-02-04 01:00:00,Endpoint,Medium,Team C,2.63,0
50274,2025-02-20 22:00:00,Endpoint,Low,Team B,0.21,0
50275,2025-03-01 07:00:00,Application,Low,Team D,0.36,0
50276,2025-06-24 02:00:00,Database,Low,Team C,1.06,0
50277,2025-05-06 22:00:00,Access,Critical,Team C,0.72,0
50278,2025-05-27 06:00:00,Access,High,Team B,4.67,1
50279,2025-05-28 05:00:00,Database,High,Team A,0.45,0
50280,2025-05-10 20:00:00,Database,Medium,Team C,0.57,0
50281,2025-06-27 22:00:00,Network,Low,Team A,0.39,0
50282,2025-03-07 08:00:00,Endpoint,Low,Team D,3.91,1
50283,2025-06-14 01:00:00,Network,High,Team C,0.45,0
50284,2025-01-17 23:00:00,Application,Low,Team A,0.87,0
50285,2025-02-16 04:00:00,Application,Low,Team A,2.21,0
50286,2025-05-01 23:00:00,Database,Medium,Team B,0.16,0
50287,2025-06-03 12:00:00,Application,Low,Team A,3.39,1
50288,2025-04-15 15:00:00,Database,Medium,Team D,2.45,0
50289,2025-05-20 09:00:00,Access,Low,Team D,0.61,0
50290,2025-05-16 17:00:00,Endpoint,Low,Team C,0.99,0
50291,2025-02-14 15:00:00,Application,Low,Team B,1.94,0
50292,2025-05-15 01:00:00,Network,Medium,Team B,5.85,1
50293,2025-02-13 07:00:00,Application,Low,Team B,1.98,0
50294,2025-05-21 08:00:00,Endpoint,Low,Team D,0.58,0
50295,2025-04-15 00:00:00,Application,Low,Team A,1.32,0
50296,2025-06-01 02:00:00,Database,Critical,Team D,1.19,0
50297,2025-05-26 18:00:00,Application,Medium,Team D,1.52,0
50298,2025-01-15 10:00:00,Access,Medium,Team A,1.46,0
50299,2025-05-20 19:00:00,Access,Medium,Team D,0.91,0
50300,2025-06-01 10:00:00,Application,Low,Team C,4.11,1
50301,2025-01-16 16:00:00,Network,Medium,Team C,0.8,0
50302,2025-05-24 19:00:00,Application,High,Team C,1.51,0
50303,2025-04-13 21:00:00,Database,Low,Team C,0.6,0
50304,2025-02-08 19:00:00,Database,High,Team C,1.14,0
50305,2025-03-19 03:00:00,Database,Medium,Team B,2.29,0
50306,2025-02-01 19:00:00,Network,Low,Team D,2.84,0
50307,2025-04-05 10:00:00,Access,Low,Team A,3.28,1
50308,2025-06-23 00:00:00,Database,High,Team B,2.67,0
50309,2025-06-25 09:00:00,Database,Medium,Team A,1.26,0
50310,2025-05-19 05:00:00,Application,Low,Team D,0.08,0
50311,2025-04-08 23:00:00,Access,Medium,Team B,1.49,0
50312,2025-05-07 21:00:00,Database,Critical,Team A,0.11,0
50313,2025-05-22 02:00:00,Database,Medium,Team C,6.79,1
50314,2025-02-15 19:00:00,Application,Critical,Team B,0.95,0
50315,2025-04-08 22:00:00,Application,Medium,Team C,1.4,0
50316,2025-05-04 06:00:00,Endpoint,Medium,Team B,0.28,0
50317,2025-03-10 15:00:00,Application,Medium,Team D,10.91,1
50318,2025-04-26 21:00:00,Application,Medium,Team B,1.36,0
50319,2025-06-02 07:00:00,Endpoint,Medium,Team D,0.71,0
50320,2025-03-04 11:00:00,Database,Medium,Team B,0.43,0
50321,2025-01-01 01:00:00,Application,High,Team D,2.1,0
50322,2025-03-29 16:00:00,Network,Low,Team C,1.15,0
50323,2025-01-20 01:00:00,Endpoint,High,Team D,0.76,0
50324,2025-01-23 12:00:00,Endpoint,Medium,Team C,0.02,0
50325,2025-05-12 19:00:00,Database,High,Team B,0.07,0
50326,2025-03-17 20:00:00,Application,Medium,Team B,2.37,0
50327,2025-04-10 10:00:00,Network,High,Team B,1.31,0
50328,2025-05-24 10:00:00,Database,Low,Team B,3.78,1
50329,2025-04-27 22:00:00,Application,Low,Team C,2.8,0
50330,2025-06-15 20:00:00,Database,Medium,Team A,1.7,0
50331,2025-02-15 02:00:00,Endpoint,Medium,Team A,1.65,0
50332,2025-01-16 15:00:00,Endpoint,Medium,Team D,2.74,0
50333,2025-03-06 00:00:00,Application,Medium,Team B,2.7,0
50334,2025-01-17 02:00:00,Database,Low,Team B,0.81,0
50335,2025-02-03 19:00:00,Application,Critical,Team A,0.22,0
50336,2025-01-08 14:00:00,Access,Low,Team A,2.96,0
50337,2025-04-09 11:00:00,Application,Low,Team B,0.5,0
50338,2025-03-03 06:00:00,Access,Low,Team B,3.13,1
50339,2025-06-05 22:00:00,Endpoint,High,Team A,1.93,0
50340,2025-03-16 07:00:00,Network,Medium,Team C,0.89,0
50341,2025-05-18 11:00:00,Endpoint,Medium,Team B,3.82,1
50342,2025-04-30 20:00:00,Network,Low,Team A,2.35,0
50343,2025-04-30 03:00:00,Database,Low,Team C,1.58,0
50344,2025-03-17 22:00:00,Network,Low,Team A,0.72,0
50345,2025-05-05 16:00:00,Database,Low,Team B,8.58,1
50346,2025-04-23 10:00:00,Access,Medium,Team D,3.65,1
50347,2025-02-15 08:00:00,Database,Low,Team A,0.29,0
50348,2025-03-04 04:00:00,Application,High,Team D,3.28,1
50349,2025-04-11 19:00:00,Application,High,Team D,0.26,0
50350,2025-02-26 09:00:00,Application,Medium,Team B,0.57,0
50351,2025-03-27 16:00:00,Endpoint,Low,Team C,6.32,1
50352,2025-03-01 11:00:00,Application,Low,Team D,4.08,1
50353,2025-01-27 18:00:00,Database,Medium,Team C,1.86,0
50354,2025-01-27 23:00:00,Database,Medium,Team B,2.4,0
50355,2025-02-08 01:00:00,Database,Medium,Team B,0.19,0
50356,2025-06-11 05:00:00,Application,Low,Team B,0.81,0
50357,2025-04-07 21:00:00,Access,Low,Team C,0.78,0
50358,2025-02-07 17:00:00,Access,Low,Team A,0.07,0
50359,2025-04-17 05:00:00,Endpoint,Low,Team D,2.44,0
50360,2025-02-11 08:00:00,Database,Low,Team B,0.74,0
50361,2025-05-29 06:00:00,Database,Low,Team D,2.01,0
50362,2025-04-09 18:00:00,Endpoint,Low,Team C,0.06,0
50363,2025-02-21 08:00:00,Database,Medium,Team C,0.0,0
50364,2025-02-25 06:00:00,Network,Low,Team D,0.37,0
50365,2025-05-21 03:00:00,Endpoint,Medium,Team A,2.43,0
50366,2025-06-17 04:00:00,Database,Low,Team B,1.85,0
50367,2025-06-13 10:00:00,Endpoint,Medium,Team A,0.45,0
50368,2025-04-24 08:00:00,Network,Low,Team D,1.48,0
50369,2025-03-29 23:00:00,Network,Low,Team B,1.93,0
50370,2025-03-16 14:00:00,Application,Low,Team B,5.59,1
50371,2025-01-18 01:00:00,Database,Critical,Team D,2.87,0
50372,2025-03-10 22:00:00,Network,Medium,Team B,0.29,0
50373,2025-06-24 11:00:00,Network,Medium,Team A,0.63,0
50374,2025-05-30 13:00:00,Network,Critical,Team C,1.03,0
50375,2025-06-15 18:00:00,Application,Medium,Team C,0.22,0
50376,2025-02-14 13:00:00,Database,Low,Team D,1.62,0
50377,2025-04-22 08:00:00,Endpoint,Low,Team C,4.75,1
50378,2025-02-09 04:00:00,Application,High,Team C,0.73,0
50379,2025-04-21 17:00:00,Database,Medium,Team D,8.35,1
50380,2025-03-25 11:00:00,Network,Low,Team D,0.57,0
50381,2025-04-25 18:00:00,Application,High,Team B,1.28,0
50382,2025-05-26 03:00:00,Access,Medium,Team D,0.84,0
50383,2025-05-26 05:00:00,Access,Medium,Team A,0.74,0
50384,2025-01-28 12:00:00,Network,Medium,Team D,0.95,0
50385,2025-05-03 15:00:00,Database,Low,Team B,0.07,0
50386,2025-01-13 17:00:00,Database,Medium,Team B,1.52,0
50387,2025-02-05 16:00:00,Application,High,Team D,2.71,0
50388,2025-05-03 13:00:00,Access,Low,Team A,3.99,1
50389,2025-01-19 16:00:00,Database,Low,Team B,0.78,0
50390,2025-05-02 18:00:00,Application,Medium,Team A,1.6,0
50391,2025-04-29 18:00:00,Application,Low,Team B,4.47,1
50392,2025-04-27 10:00:00,Access,Low,Team C,3.22,1
50393,2025-02-21 06:00:00,Network,Medium,Team B,1.25,0
50394,2025-04-26 15:00:00,Application,Low,Team B,0.36,0
50395,2025-01-21 01:00:00,Network,Low,Team B,1.63,0
50396,2025-05-08 20:00:00,Access,Low,Team B,9.15,1
50397,2025-05-23 19:00:00,Application,Low,Team B,2.83,0
50398,2025-02-18 08:00:00,Endpoint,Low,Team D,3.77,1
50399,2025-02-19 16:00:00,Access,Low,Team D,0.42,0
50400,2025-03-05 05:00:00,Access,Medium,Team A,4.68,1
50401,2025-03-26 08:00:00,Endpoint,Medium,Team C,0.03,0
50402,2025-01-21 08:00:00,Access,Medium,Team D,3.96,1
50403,2025-03-13 04:00:00,Endpoint,Low,Team C,0.55,0
50404,2025-02-24 03:00:00,Endpoint,Medium,Team A,1.95,0
50405,2025-06-20 12:00:00,Access,Low,Team A,0.69,0
50406,2025-06-05 03:00:00,Endpoint,Low,Team B,0.29,0
50407,2025-04-24 07:00:00,Endpoint,Low,Team D,0.57,0
50408,2025-02-15 05:00:00,Access,Low,Team B,1.28,0
50409,2025-05-14 12:00:00,Endpoint,Medium,Team B,5.04,1
50410,2025-04-01 07:00:00,Network,Medium,Team A,0.99,0
50411,2025-04-30 03:00:00,Access,Medium,Team B,0.11,0
50412,2025-02-19 04:00:00,Access,Critical,Team A,0.05,0
50413,2025-05-28 02:00:00,Network,High,Team D,0.47,0
50414,2025-04-13 11:00:00,Database,Low,Team D,0.11,0
50415,2025-05-30 02:00:00,Application,Medium,Team B,0.93,0
50416,2025-03-08 17:00:00,Endpoint,Low,Team A,0.97,0
50417,2025-04-05 19:00:00,Endpoint,Medium,Team D,7.16,1
50418,2025-01-07 00:00:00,Application,Medium,Team C,0.73,0
50419,2025-04-03 00:00:00,Endpoint,Low,Team D,1.83,0
50420,2025-01-13 00:00:00,Endpoint,Low,Team A,3.42,1
50421,2025-06-24 03:00:00,Network,Low,Team B,1.44,0
50422,2025-01-23 05:00:00,Network,Low,Team A,2.39,0
