order_id,order_date,region,category,price,quantity,profit
80049,2025-03-01,South,Beauty,3275.84,1,526.55
80050,2025-07-06,North,Beauty,4134.02,2,1847.44
80051,2025-09-24,South,Clothing,2596.28,3,1634.88
80052,2025-08-14,South,Beauty,841.73,2,310.94
80053,2024-12-18,West,Electronics,4106.99,4,3374.91
80054,2025-09-10,West,Home,3541.26,3,2567.66
80055,2025-04-07,South,Beauty,4793.94,3,2913.67
80056,2025-01-28,North,Home,539.9,2,98.04
80057,2025-09-28,West,Electronics,2975.19,2,697.49
80058,2025-06-23,East,Home,3218.75,1,397.78
80059,2024-10-10,West,Home,4999.5,1,687.49
80060,2024-12-09,South,Electronics,4179.03,2,1476.99
80061,2025-06-01,West,Beauty,1631.55,3,656.0
80062,2025-08-21,South,Electronics,2416.69,2,691.36
80063,2025-08-12,South,Beauty,1851.78,1,312.26
80064,2025-09-14,West,Electronics,4597.48,1,975.09
80065,2025-08-17,North,Home,2668.21,4,1490.94
80066,2025-08-09,East,Home,4518.8,3,2387.47
80067,2025-01-19,South,Clothing,1873.52,1,267.94
80068,2025-05-03,North,Home,980.8,4,978.89
80069,2024-10-14,South,Beauty,2753.44,2,1314.51
80070,2025-07-19,North,Home,4937.0,3,2342.49
80071,2025-06-12,South,Electronics,3179.54,2,1354.97
80072,2025-08-14,South,Electronics,369.61,4,329.17
80073,2025-06-13,North,Home,265.42,4,59.0
80074,2025-08-28,North,Home,2205.31,3,1548.28
80075,2024-10-15,South,Beauty,282.97,4,251.37
80076,2025-08-01,West,Electronics,612.36,3,392.73
80077,2025-09-01,North,Electronics,3791.88,2,1240.16
80078,2025-03-21,East,Beauty,3815.49,1,364.59
80079,2025-08-30,East,Clothing,1005.01,1,151.06
80080,2025-02-07,West,Electronics,4270.44,3,2688.71
80081,2024-12-02,North,Clothing,960.31,3,404.29
80082,2025-07-07,North,Home,3844.79,4,3805.87
80083,2025-06-13,East,Clothing,3051.83,1,290.94
80084,2024-10-02,West,Beauty,4296.77,3,2992.56
80085,2024-12-21,South,Beauty,3791.66,1,434.37
80086,2024-12-31,North,Clothing,101.62,1,22.13
80087,2025-05-05,North,Electronics,397.63,2,108.87
80088,2025-09-26,South,Electronics,257.65,2,111.57
80089,2024-10-07,East,Electronics,4184.31,1,702.32
80090,2024-11-30,South,Electronics,3020.07,1,698.94
80091,2025-01-17,North,Electronics,4843.21,4,2822.81
80092,2025-02-07,East,Home,2003.59,2,948.24
80093,2024-11-14,West,Beauty,976.43,1,73.7
80094,2025-06-08,East,Home,1766.18,1,374.06
80095,2025-04-19,South,Beauty,1426.41,3,402.93
80096,2025-01-31,North,Home,4257.93,2,817.49
80097,2024-10-07,West,Electronics,1403.42,4,354.36
80098,2024-10-29,East,Clothing,753.8,4,592.07
80099,2025-08-16,East,Clothing,1731.67,2,619.12
80100,2025-03-01,South,Clothing,4008.89,2,938.23
80101,2025-08-19,West,Clothing,2063.38,3,1517.56
80102,2025-06-14,South,Electronics,3114.24,2,383.83
80103,2025-01-05,North,Clothing,1106.83,2,451.53
80104,2025-05-14,North,Clothing,469.28,2,96.47
80105,2025-07-26,South,Electronics,1246.71,4,316.18
80106,2024-12-18,East,Beauty,4117.12,1,730.17
80107,2024-12-14,North,Clothing,3471.31,3,1206.14
80108,2024-11-07,South,Home,502.59,4,281.66
80109,2025-02-25,North,Clothing,1152.23,1,166.56
80110,2025-09-17,South,Home,1234.55,2,143.54
80111,2025-05-31,North,Home,1480.9,3,694.65
80112,2025-08-05,North,Electronics,3333.7,1,192.9
80113,2024-11-24,South,Beauty,908.87,4,314.81
80114,2024-10-17,East,Beauty,678.65,3,393.65
80115,2025-01-08,East,Home,2610.7,4,2033.44
80116,2025-01-06,West,Clothing,1702.33,2,172.14
80117,2025-02-16,East,Electronics,1187.82,3,783.16
80118,2024-12-17,West,Home,953.06,4,197.24
80119,2025-06-23,West,Home,1379.78,2,672.75
80120,2025-07-06,South,Home,288.52,3,140.3
80121,2025-09-09,South,Home,1629.15,2,402.84
80122,2024-11-13,South,Clothing,1977.85,4,1356.15
80123,2025-04-21,West,Clothing,1206.08,4,384.53
80124,2025-06-04,East,Electronics,3261.78,2,948.84
80125,2025-09-26,South,Electronics,4308.21,3,2426.72
80126,2025-07-10,South,Home,3720.28,4,2691.8
80127,2025-03-25,East,Beauty,1072.96,1,248.41
80128,2024-11-06,North,Beauty,740.28,2,158.23
80129,2024-12-03,East,Clothing,4629.44,4,1187.07
80130,2025-07-30,East,Clothing,2326.61,4,1158.69
80131,2025-08-01,South,Home,4334.25,2,663.66
80132,2025-08-18,North,Beauty,3293.4,2,1506.1
80133,2024-11-14,West,Electronics,3677.97,1,905.76
80134,2024-11-27,West,Beauty,1054.78,2,373.18
80135,2025-09-28,East,Beauty,3986.13,1,832.1
80136,2024-12-04,North,Home,2076.11,2,786.18
80137,2025-08-20,West,Electronics,1911.5,3,915.19
80138,2025-05-28,North,Clothing,3118.43,3,2017.47
80139,2025-01-20,North,Home,1457.0,2,666.29
80140,2025-06-16,South,Electronics,1421.46,4,867.27
80141,2024-12-29,West,Electronics,484.45,4,411.26
80142,2025-05-30,North,Electronics,2041.9,2,522.83
80143,2025-08-23,South,Beauty,3089.64,3,895.95
80144,2025-09-07,South,Beauty,1393.85,1,198.76
80145,2025-06-23,South,Beauty,4484.81,4,1784.58
80146,2025-06-23,West,Home,4878.92,1,626.3
80147,2025-07-22,West,Home,812.83,2,289.58
80148,2024-12-04,South,Clothing,2673.52,1,225.61
80149,2025-08-10,South,Electronics,1578.63,1,307.62
80150,2025-06-01,East,Home,2028.38,2,930.0
80151,2025-07-20,North,Home,2272.79,2,575.04
80152,2025-08-27,East,Clothing,2308.62,1,565.41
80153,2025-07-17,North,Electronics,1949.65,3,1098.44
80154,2024-12-17,North,Beauty,1849.56,1,305.31
80155,2025-07-21,East,Home,477.76,4,211.72
80156,2025-08-13,East,Beauty,2003.36,3,320.3
80157,2025-01-11,South,Home,4943.62,1,655.86
80158,2024-12-13,West,Home,2346.42,4,2180.7
80159,2024-10-29,North,Home,1914.05,3,1210.54
80160,2025-03-27,North,Clothing,3829.91,4,3777.24
80161,2025-08-17,South,Clothing,4461.87,2,1887.56
80162,2025-09-29,East,Electronics,3345.79,1,655.46
80163,2025-06-06,South,Clothing,1864.78,2,251.29
80164,2025-06-11,South,Electronics,2079.82,3,1534.52
80165,2025-06-17,West,Electronics,2150.72,4,932.52
80166,2025-01-05,East,Home,606.2,4,239.48
80167,2025-05-26,South,Home,2732.47,2,305.32
80168,2025-03-01,North,Home,1008.54,2,262.85
80169,2025-03-18,South,Electronics,3373.62,3,2317.02
80170,2024-10-22,South,Home,3815.24,3,2333.72
80171,2024-10-10,East,Home,2980.65,1,498.49
80172,2024-11-13,East,Clothing,1464.6,3,875.92
80173,2025-04-06,South,Beauty,4119.82,3,748.51
80174,2025-03-03,North,Clothing,1089.27,3,286.28
80175,2025-02-17,West,Beauty,1171.25,3,504.66
80176,2024-10-20,South,Clothing,770.54,2,283.26
80177,2025-07-18,South,Clothing,3822.03,2,1252.02
80178,2025-09-30,South,Beauty,2768.46,4,894.07
80179,2025-05-02,South,Electronics,637.61,3,409.98
80180,2024-12-02,South,Home,2995.42,2,462.15
80181,2025-02-22,South,Clothing,4305.64,1,431.48
80182,2025-05-03,North,Electronics,2314.03,4,2215.75
80183,2025-09-01,North,Electronics,4169.45,2,1981.1
80184,2024-12-26,South,Home,4686.32,3,1168.1
80185,2025-05-30,South,Electronics,1406.3,3,404.14
80186,2025-07-06,North,Electronics,2865.2,4,2047.8
80187,2025-05-11,East,Electronics,4467.33,2,1945.02
80188,2025-02-20,East,Clothing,3087.72,4,1994.9
80189,2025-02-13,East,Clothing,2234.68,1,237.03
80190,2025-01-25,North,Clothing,3021.81,4,1292.65
80191,2024-12-10,East,Beauty,3759.85,4,860.57
80192,2025-08-19,East,Beauty,1445.77,1,73.91
80193,2025-09-21,East,Home,800.65,3,181.69
80194,2024-10-23,South,Beauty,1029.15,1,255.85
80195,2024-12-20,North,Home,3663.75,3,980.93
80196,2025-07-24,South,Beauty,644.91,3,309.27
80197,2024-12-28,South,Home,1684.88,1,142.19
80198,2025-09-08,South,Clothing,4185.36,3,2803.17
80199,2025-07-15,East,Electronics,4437.27,2,1618.27
80200,2025-04-11,East,Electronics,4843.12,2,1921.81
80201,2024-10-27,West,Home,3080.75,4,2627.28
80202,2025-05-06,South,Home,1270.82,2,539.36
80203,2025-08-16,South,Clothing,3359.56,4,691.33
80204,2024-12-12,West,Beauty,1026.45,2,378.51
80205,2025-08-19,North,Home,1278.84,2,548.64
80206,2025-09-28,South,Clothing,4650.79,2,567.68
80207,2025-03-30,South,Beauty,147.77,2,46.26
80208,2024-10-10,North,Home,2792.0,3,706.88
80209,2024-11-20,South,Electronics,385.82,4,142.84
80210,2025-03-09,North,Beauty,1191.54,4,1041.05
80211,2025-04-11,East,Electronics,1834.31,3,781.28
80212,2024-11-15,West,Clothing,631.92,2,109.84
80213,2025-04-18,East,Electronics,269.43,1,53.68
80214,2025-01-11,South,Electronics,1842.04,1,420.52
80215,2025-02-15,East,Beauty,2608.18,1,484.54
80216,2025-09-09,North,Electronics,4053.25,4,3796.49
80217,2025-05-24,West,Clothing,1756.06,3,565.26
80218,2025-09-04,South,Home,1623.68,1,221.71
80219,2025-04-08,East,Home,155.8,2,22.14
80220,2025-01-25,North,Beauty,3123.16,4,807.95
80221,2024-12-10,South,Beauty,3851.58,1,503.17
80222,2025-08-06,North,Clothing,117.65,4,87.73
80223,2025-04-29,South,Home,127.8,3,77.01
80224,2025-07-12,North,Electronics,4343.55,1,348.22
80225,2025-06-29,South,Electronics,1459.99,1,252.21
80226,2025-05-19,North,Electronics,2677.14,2,829.88
80227,2025-04-15,South,Clothing,3328.94,4,2817.33
80228,2025-06-30,South,Clothing,3258.99,1,637.91
80229,2025-04-27,South,Electronics,2840.49,2,852.16
80230,2024-11-11,East,Clothing,1083.01,3,322.47
80231,2025-01-04,North,Clothing,3811.51,1,859.17
80232,2025-06-04,South,Clothing,2887.44,3,722.85
80233,2025-07-23,East,Electronics,1678.06,3,513.52
80234,2025-06-27,West,Clothing,3492.42,3,1936.74
80235,2025-03-09,South,Beauty,840.52,2,261.69
80236,2025-02-28,North,Beauty,1897.27,1,134.47
80237,2024-11-29,South,Clothing,1070.89,3,472.06
80238,2024-10-12,East,Electronics,1866.76,3,412.12
80239,2024-12-25,East,Home,2814.73,1,202.05
80240,2025-01-25,South,Electronics,2347.78,3,712.84
80241,2024-11-27,West,Electronics,2897.81,2,488.94
80242,2025-07-05,North,Clothing,1584.39,4,1573.97
80243,2025-04-10,East,Home,541.1,4,522.85
80244,2025-08-26,West,Clothing,661.27,3,386.56
80245,2025-09-21,North,Beauty,1879.2,1,409.48
80246,2025-09-08,North,Clothing,2156.34,1,495.19
80247,2025-07-07,West,Home,3632.26,1,566.4
80248,2024-10-20,West,Home,1529.95,4,1295.28
80249,2025-02-08,North,Beauty,3579.7,3,2475.49
80250,2025-04-17,East,Electronics,3081.94,1,185.19
80251,2024-10-23,West,Electronics,1494.17,3,946.89
80252,2025-09-20,South,Electronics,4881.24,2,650.04
80253,2024-11-02,East,Clothing,1409.64,4,1346.65
80254,2024-11-15,South,Clothing,2696.92,3,1492.83
80255,2024-11-04,East,Home,4222.0,2,2108.19
80256,2024-10-22,East,Home,1164.24,4,607.92
80257,2024-11-03,East,Electronics,432.54,1,95.98
80258,2024-11-05,West,Clothing,2496.56,2,1204.61
80259,2025-01-09,West,Home,3127.6,4,1361.05
80260,2025-03-03,South,Beauty,713.94,3,475.95
80261,2024-11-10,West,Electronics,625.49,4,312.3
80262,2024-10-10,North,Clothing,501.01,4,267.87
80263,2025-09-22,South,Beauty,3321.47,2,1489.8
80264,2025-01-22,North,Beauty,4676.8,2,1476.67
80265,2024-11-11,West,Electronics,4630.71,1,606.29
80266,2025-02-16,East,Home,4061.68,2,652.92
80267,2024-12-11,North,Clothing,1933.55,3,797.18
80268,2024-12-10,South,Beauty,2899.52,2,1137.02
80269,2025-01-18,South,Electronics,4999.38,3,2819.13
80270,2025-01-15,North,Electronics,4183.08,3,2591.45
80271,2025-06-10,South,Electronics,524.57,4,421.98
80272,2024-12-11,North,Clothing,110.58,2,27.02
80273,2025-05-13,South,Electronics,1983.88,3,1295.78
80274,2025-02-11,West,Home,232.04,4,53.61
80275,2024-11-15,South,Clothing,3830.59,4,853.38
80276,2024-12-19,West,Home,3082.55,3,2230.74
80277,2025-01-20,South,Beauty,3345.13,2,1507.27
80278,2025-06-27,North,Electronics,4626.79,1,603.93
80279,2024-11-03,South,Clothing,4927.6,3,3231.68
80280,2024-11-27,East,Clothing,1680.36,1,302.49
80281,2025-08-02,South,Beauty,783.98,2,131.72
80282,2025-05-05,South,Home,229.42,1,32.4
80283,2025-09-07,South,Electronics,4367.92,4,1094.85
80284,2025-04-13,North,Clothing,1516.46,1,177.4
80285,2025-01-13,North,Electronics,265.24,1,24.24
80286,2025-06-26,South,Electronics,3025.56,3,1944.97
80287,2025-02-03,West,Clothing,2065.02,1,407.78
80288,2025-05-22,North,Electronics,4367.02,3,815.09
80289,2024-12-24,East,Beauty,599.65,3,283.49
80290,2025-09-14,East,Clothing,3016.93,3,1766.66
80291,2025-04-19,West,Home,3969.55,3,2079.88
80292,2025-01-12,West,Beauty,4343.48,2,528.13
80293,2025-09-07,West,Beauty,450.7,1,40.32
80294,2025-05-11,South,Home,3935.36,3,1497.91
80295,2024-11-14,East,Beauty,3998.52,4,1209.13
80296,2025-03-08,North,Clothing,1382.99,3,328.99
80297,2025-03-18,West,Clothing,1575.14,3,601.38
80298,2024-11-15,North,Electronics,4610.91,1,682.95
80299,2025-06-15,East,Clothing,3175.34,4,804.93
80300,2025-02-01,North,Home,249.29,4,195.37
80301,2025-02-17,North,Electronics,4108.65,2,1303.32
80302,2025-08-16,South,Beauty,4857.01,1,1176.55
80303,2024-11-12,North,Home,2112.42,4,896.66
80304,2024-11-20,South,Home,3785.6,3,1160.13
80305,2025-09-04,West,Home,3645.71,1,429.69
80306,2025-07-03,North,Electronics,2068.62,4,1314.08
80307,2025-05-17,North,Home,2321.96,1,257.93
80308,2025-05-13,West,Home,3142.22,1,347.86
80309,2025-08-10,South,Home,953.11,2,422.99
80310,2025-08-11,South,Beauty,2582.43,3,537.91
80311,2025-04-21,East,Clothing,1745.32,2,523.47
80312,2025-03-22,East,Home,512.63,4,411.83
80313,2025-07-30,South,Beauty,1082.48,4,1045.08
80314,2024-12-21,North,Electronics,2557.45,2,1157.7
80315,2024-10-31,North,Clothing,4547.51,1,420.35
80316,2025-09-19,South,Home,4317.2,4,2454.42
80317,2024-11-10,South,Clothing,4596.67,3,2293.09
80318,2025-04-27,East,Electronics,1297.89,3,447.7
80319,2025-07-01,South,Clothing,4151.34,3,1415.63
80320,2025-01-04,East,Beauty,1783.05,4,620.81
80321,2024-10-10,North,Beauty,4815.14,4,1157.19
80322,2025-06-22,South,Electronics,1376.81,3,849.77
80323,2025-03-04,South,Home,1725.63,2,481.73
80324,2025-07-09,South,Clothing,145.18,4,130.29
80325,2025-06-06,South,Clothing,4620.2,3,1225.17
80326,2024-12-24,South,Electronics,3107.67,3,1158.54
80327,2024-10-29,East,Home,1629.65,4,789.2
80328,2024-10-20,South,Electronics,805.47,2,275.58
80329,2025-08-25,East,Clothing,3264.0,3,1445.35
80330,2025-02-20,East,Electronics,570.08,4,391.0
80331,2025-03-29,South,Electronics,811.43,3,294.4
80332,2025-05-03,North,Home,2580.02,1,614.81
80333,2025-01-14,North,Beauty,747.55,3,530.73
80334,2025-09-27,East,Clothing,544.97,1,112.05
80335,2025-09-01,South,Electronics,3499.95,2,1743.98
80336,2025-02-06,West,Home,2359.69,1,216.43
80337,2025-08-11,North,Beauty,343.43,2,93.77
80338,2024-10-04,West,Clothing,335.26,3,177.31
80339,2025-08-14,North,Home,4806.24,1,614.82
80340,2025-05-08,South,Home,365.43,1,34.92
80341,2025-04-03,North,Home,2277.79,1,133.59
80342,2025-04-06,East,Clothing,2007.55,2,960.06
80343,2025-07-18,South,Clothing,2564.52,4,985.86
80344,2025-03-12,North,Home,4414.14,1,636.79
80345,2025-09-29,South,Clothing,3412.41,3,557.31
80346,2025-01-09,South,Beauty,3913.78,3,1849.94
80347,2025-03-04,South,Beauty,2200.4,4,1913.98
80348,2025-03-24,West,Home,2868.27,4,1624.73
80349,2025-09-25,North,Beauty,434.41,1,100.92
80350,2025-06-26,West,Home,453.43,3,126.22
80351,2025-08-06,East,Electronics,4360.91,2,789.58
80352,2025-06-19,West,Clothing,2584.45,1,438.63
80353,2024-12-26,North,Home,633.91,1,134.42
80354,2025-03-10,North,Home,467.02,3,71.42
80355,2025-02-14,South,Electronics,4605.73,2,927.89
80356,2025-08-21,South,Beauty,935.87,1,93.31
80357,2025-04-04,West,Beauty,2214.93,1,337.5
80358,2024-11-07,West,Electronics,3935.02,3,2047.02
80359,2025-05-28,East,Beauty,4349.21,4,2758.11
80360,2025-07-27,South,Home,4335.17,2,856.83
80361,2025-08-20,East,Beauty,4428.72,4,3971.03
80362,2024-11-01,West,Beauty,836.61,2,342.79
80363,2025-05-14,South,Beauty,2198.6,3,1168.5
80364,2025-01-14,East,Home,3334.16,4,1659.22
80365,2024-11-28,South,Electronics,4515.97,4,2088.52
80366,2025-01-08,West,Electronics,2198.81,3,1308.63
80367,2025-03-23,North,Clothing,3143.8,2,469.11
80368,2025-02-18,East,Electronics,4803.18,2,545.35
80369,2025-08-01,West,Clothing,4824.53,4,4700.71
80370,2025-09-12,South,Beauty,3365.87,2,1614.79
80371,2025-06-04,South,Electronics,2565.44,1,612.0
80372,2024-12-08,East,Beauty,2905.11,3,1390.15
80373,2024-12-03,South,Beauty,4515.99,4,1252.73
80374,2025-03-03,South,Beauty,3496.87,2,1049.33
80375,2024-11-18,South,Home,1281.84,4,625.6
80376,2025-04-29,West,Clothing,1054.5,4,699.49
80377,2025-05-24,South,Clothing,919.0,2,422.62
80378,2025-05-08,North,Home,3023.95,2,867.41
80379,2025-04-12,South,Beauty,3214.65,3,2058.43
80380,2025-06-16,West,Home,489.14,1,72.42
80381,2025-02-26,South,Electronics,3759.18,4,3613.3
80382,2025-09-30,West,Clothing,2802.01,4,1617.87
80383,2025-03-16,South,Beauty,1565.86,1,301.03
80384,2025-08-30,North,Beauty,4786.5,3,2031.61
80385,2024-11-07,East,Beauty,2522.39,1,329.4
80386,2024-10-28,North,Beauty,2439.27,2,974.4
80387,2025-07-28,South,Home,2266.1,2,901.99
80388,2025-01-10,North,Clothing,2842.62,4,1062.57
80389,2024-12-01,North,Clothing,334.27,2,88.16
80390,2025-06-30,North,Electronics,330.72,1,17.1
80391,2025-03-17,West,Clothing,2364.51,1,126.94
80392,2025-05-19,South,Electronics,3849.89,4,1216.33
80393,2025-01-18,North,Beauty,2645.03,3,1607.47
80394,2024-11-04,South,Clothing,4617.41,3,901.44
80395,2025-04-28,North,Clothing,3221.22,4,3068.15
80396,2025-04-03,South,Clothing,141.63,2,25.13
80397,2025-05-01,South,Electronics,2292.51,4,2084.19
80398,2025-07-08,North,Electronics,2804.6,3,2020.07
80399,2025-06-28,South,Clothing,180.66,3,73.43
80400,2025-06-06,South,Home,622.79,4,385.0
80401,2025-02-24,West,Home,4993.06,1,569.9
80402,2025-03-28,East,Home,3410.28,4,3136.24
80403,2025-02-18,East,Beauty,3410.7,2,1036.78
80404,2025-01-04,East,Home,2891.49,4,2848.82
80405,2025-09-16,South,Beauty,4490.6,3,3284.28
80406,2025-04-24,West,Home,1513.63,3,1091.78
80407,2024-10-25,East,Beauty,4280.21,1,518.98
80408,2025-06-13,West,Clothing,573.81,4,152.57
80409,2025-04-29,South,Beauty,4876.95,2,1792.97
80410,2025-02-28,North,Home,4106.0,1,922.53
80411,2025-04-29,North,Home,111.77,1,13.51
80412,2024-12-20,North,Clothing,392.29,4,380.59
80413,2025-08-11,West,Home,515.55,2,239.37
80414,2025-09-17,South,Electronics,3450.47,3,1821.09
80415,2025-08-03,South,Home,3453.84,1,253.31
80416,2025-01-17,North,Home,498.03,2,227.62
80417,2025-02-15,East,Clothing,2296.82,1,171.26
80418,2025-07-28,South,Beauty,1264.53,3,586.48
80419,2025-07-08,North,Electronics,2055.22,3,332.0
80420,2025-04-04,North,Clothing,1272.47,1,102.96
80421,2024-12-30,South,Beauty,2138.2,4,1391.94
80422,2024-12-03,South,Electronics,3247.21,3,490.02
80423,2025-03-21,South,Clothing,853.84,1,68.54
80424,2025-03-01,West,Clothing,1169.75,1,110.12
80425,2025-05-30,North,Electronics,1850.55,4,433.4
80426,2025-08-03,West,Electronics,4901.24,2,1626.57
80427,2025-08-15,West,Electronics,3217.51,2,1304.92
80428,2025-03-01,North,Electronics,4585.93,1,263.73
80429,2025-07-31,South,Home,4295.36,1,572.36
80430,2024-10-20,South,Home,2838.2,1,449.98
80431,2024-11-01,North,Beauty,1452.23,1,224.32
80432,2025-03-11,South,Home,1361.74,1,200.15
80433,2024-11-21,East,Beauty,2888.43,4,798.5
80434,2025-06-12,North,Electronics,2829.65,4,1129.2
80435,2024-11-07,North,Beauty,2842.28,2,1338.99
80436,2025-06-27,South,Home,1897.56,1,164.4
80437,2025-03-01,South,Home,3567.54,2,1475.73
80438,2025-04-18,North,Home,2100.07,3,500.24
80439,2025-06-21,East,Home,1821.16,1,361.11
80440,2025-02-11,West,Electronics,2576.25,2,957.16
80441,2025-05-22,West,Clothing,4484.65,4,4456.69
80442,2025-03-20,East,Electronics,3560.36,2,574.98
80443,2025-08-07,South,Clothing,4088.89,3,1290.41
80444,2025-07-07,South,Electronics,2718.64,3,1782.35
80445,2025-09-13,South,Electronics,2765.18,3,1339.0
80446,2024-12-06,West,Home,4314.89,4,2000.55
80447,2024-10-06,East,Home,815.58,1,65.33
80448,2024-12-05,South,Electronics,4812.28,1,777.2
80449,2025-02-21,West,Home,2649.47,4,1552.84
80450,2024-12-01,West,Clothing,1696.24,1,168.41
80451,2025-05-21,North,Beauty,1642.0,3,865.76
80452,2025-05-01,North,Clothing,305.92,2,114.12
80453,2025-02-23,West,Home,1513.35,4,973.7
80454,2025-06-08,East,Home,2196.61,2,804.65
80455,2025-01-21,South,Electronics,3532.71,3,1071.61
80456,2024-12-19,South,Electronics,1467.42,4,1355.39
80457,2025-02-23,West,Electronics,3322.55,4,805.35
80458,2025-06-27,South,Home,3043.39,4,1023.53
80459,2025-03-03,East,Home,2288.55,1,216.27
80460,2024-12-09,East,Electronics,147.61,2,71.05
80461,2025-06-24,West,Home,2984.41,2,640.74
80462,2024-10-02,South,Beauty,639.92,2,302.51
80463,2025-07-08,South,Clothing,163.49,2,47.53
80464,2025-06-07,South,Clothing,587.97,1,113.83
80465,2025-06-07,South,Beauty,1042.66,1,110.07
80466,2025-03-17,North,Clothing,2479.31,1,472.68
80467,2024-10-09,West,Beauty,3791.27,2,1699.03
80468,2025-09-07,North,Electronics,4725.23,1,781.77
80469,2025-07-28,North,Beauty,1497.63,2,696.6
80470,2025-02-17,West,Electronics,2840.54,1,362.95
80471,2024-11-11,North,Clothing,4977.93,2,1732.74
80472,2025-02-01,West,Beauty,2978.53,3,944.4
80473,2025-03-30,West,Clothing,2989.6,1,238.24
80474,2025-03-07,West,Beauty,897.8,3,222.06
80475,2025-07-29,West,Clothing,1635.32,4,907.98
80476,2024-12-09,South,Home,1032.39,1,245.15
80477,2025-09-12,West,Clothing,4638.45,3,1522.85
80478,2025-05-14,North,Beauty,2374.38,3,489.49
80479,2024-11-29,North,Clothing,1853.15,3,774.46
80480,2025-01-29,North,Electronics,3692.99,4,1158.94
80481,2024-11-24,East,Electronics,1799.92,1,165.65
80482,2025-08-06,North,Beauty,4353.36,4,4045.54
80483,2025-08-31,South,Home,3410.82,2,1217.94
80484,2025-06-12,North,Clothing,315.42,2,97.19
80485,2024-11-28,South,Electronics,2843.28,2,539.83
80486,2024-11-05,East,Home,4129.83,4,1134.66
80487,2024-11-27,South,Home,4710.46,1,1123.23
80488,2025-08-09,East,Home,1583.45,2,497.65
80489,2025-01-15,South,Electronics,1529.53,4,465.05
80490,2025-01-01,North,Clothing,2773.61,1,394.84
80491,2025-08-04,South,Beauty,181.29,2,62.7
80492,2025-08-03,North,Clothing,1545.85,3,869.58
80493,2025-01-01,North,Clothing,3855.55,4,1052.41
80494,2024-10-14,West,Home,4329.5,3,2483.92
80495,2025-04-20,South,Electronics,2024.9,4,1662.34
80496,2025-06-15,South,Electronics,4589.62,3,1700.76
80497,2025-04-17,South,Clothing,1486.32,4,1093.2
80498,2025-01-28,West,Home,289.77,4,80.83
80499,2025-07-18,South,Clothing,910.52,1,226.54
80500,2025-05-08,North,Clothing,4347.84,3,840.42
80501,2025-03-17,North,Home,4844.06,4,1755.39
80502,2025-03-27,East,Beauty,3075.69,3,1861.68
80503,2025-03-03,East,Beauty,3676.23,2,1779.15
80504,2025-09-17,East,Clothing,4189.79,1,423.0
80505,2025-02-20,East,Beauty,1035.01,4,288.57
